ID,type,text
2230,proverbs,An idle man is the devil's playfellow.
2023,proverbs,An injury is forgiven better than an injury revenged.
2257,proverbs,An old fox need learn no craft.
2110,proverbs,An onion a day keeps everyone away.
2071,proverbs,An open door may tempt a saint.
2024,proverbs,Anger and hate hinder good counsel.
2157,proverbs,Angry words fan the fire like wind.
2111,proverbs,Another pot ! Try the teapot.
2025,proverbs,Appearances are deceptive.
23830,adjs,Aristotelian
981,nouns,Armour
23831,adjs,Arthurian
2112,proverbs,As fit as a fiddle.
2290,proverbs,As green as grass.
2113,proverbs,As hard as nails.
2291,proverbs,As is the gardener so is the garden.
2072,proverbs,"As one door closes, another always opens."
2114,proverbs,As sick as a dog.
2073,proverbs,"As you go through life, make this your goal, watch the doughnut and not the hole."
2115,proverbs,"As you go through life, make this your goal, watch the doughnut and not the hole."
2292,proverbs,"As you sow, so shall you reap."
2026,proverbs,At a round table there's no dispute about the place.
23645,sentences,At night the alarm roused him from a deep sleep.
23259,sentences,At that high level the air is pure.
2027,proverbs,Attack is the best form of defense.
2192,proverbs,Attack is the best means of defence.
23737,sentences,Bad nerves are jangled by a door slam.
2158,proverbs,Bad news travels fast.
23193,sentences,"Bail the boat, to stop it from sinking."
982,nouns,Barrymore
23427,sentences,Bathe and relax in the cool green grass.
2116,proverbs,Be not a baker if your head is made of butter.
2028,proverbs,"Be slow in choosing, but slower in changing."
23761,sentences,Be sure to set the lamp firmly in the hole.
23524,sentences,Beat the dust from the rug onto the lawn.
2117,proverbs,Beauty is but skin deep.
1995,proverbs,Beauty is in the eye of the beholder.
23495,sentences,Beef is scarcer than some lamb.
1996,proverbs,Before you meet the handsome prince you have to kiss a lot of toads.
2358,proverbs,Beggars can't be choosers.
2029,proverbs,Behind every great man stands a strong woman.
8713,pairs,Bernard | gurnard
2293,proverbs,Best to bend it while it's a twig.
23463,sentences,Better hash is made of rare beef.
2385,proverbs,Better late than never.
2118,proverbs,Better late thrive than never do well.
2384,proverbs,Better safe than sorry.
2119,proverbs,Better to be poor and healthy rather than rich and sick.
2294,proverbs,Better to go back than go wrong.
1997,proverbs,"Better to have loved and lost, than to have never loved at all."
2359,proverbs,Better to have than to wish.
2120,proverbs,Better to wear out than rust out.
2328,proverbs,Big fish eat little fish.
2258,proverbs,Birds of a feather flock together.
23566,sentences,Birth and death mark the limits of life.
2030,proverbs,Blood is thicker than water.
23424,sentences,Boards will warp unless kept dry.
23832,adjs,Bohemian
23350,sentences,Both brothers wear the same size.
23157,sentences,Both lost their lives in the raging storm.
23542,sentences,Bottles hold four kinds of rum.
23456,sentences,Brass rings are sold by these natives.
2121,proverbs,Bread never falls but on its buttered side.
23541,sentences,Breakfast buns are fine with a hot drink.
23652,sentences,Breathe deep and smell the piny air.
23833,adjs,Brethren
2074,proverbs,Brevity is the soul of wit.
23660,sentences,Bribes fail where honest men work.
23295,sentences,Bring your best compass to the third class.
23233,sentences,Bring your problems to the wise chief.
23212,sentences,Burn peat after the logs give out.
2386,proverbs,Business before pleasure.
2295,proverbs,By hook or by crook.
983,nouns,Cabot
2159,proverbs,Call a spade a spade.
23726,sentences,Calves thrive on tender spring grass.
23357,sentences,Canned pears lack full flavor.
23759,sentences,Cap the jar with a tight brass cover.
23359,sentences,Carry the pail to the wall and spill it there.
23163,sentences,Cars and busses stalled in snow drifts.
984,nouns,Catholicism
23199,sentences,Cats and dogs each hate the other.
2193,proverbs,Charity begins at home.
23633,sentences,Cheap clothes are flashy but don't last.
2423,proverbs,Cheap is dear in the long run.
2031,proverbs,Cheerfulness smooths the road of life.
985,nouns,Chihuahua
23697,sentences,Choose between the high road and the low.
986,nouns,Christianity
8730,pairs,Christmas | isthmus
23649,sentences,"Clams are small, round, soft, and tasty."
2122,proverbs,Cleanliness is next to Godliness.
23235,sentences,Clothes and lodging are free to new men.
23319,sentences,Coax a young calf to drink from a bucket.
23755,sentences,Cod is the main business of the north shore.
23437,sentences,Code is used when secrets are sent.
1998,proverbs,"Cold hands, warm heart."
2032,proverbs,Confess and be hanged.
2424,proverbs,Confess and be hanged.
2033,proverbs,Conscience makes cowards of us all.
2123,proverbs,Content is health to the sick and riches to the poor.
23289,sentences,Corn cobs can be used to kindle a fire.
8744,pairs,Cossacks | Trossachs
23581,sentences,Crack the walnut with your sharp side teeth.
2387,proverbs,Credit won by lying is quick in dying.
23732,sentences,Crouch before you jump or miss the mark.
2259,proverbs,"Curiosity killed the cat; Satisfaction brought it back."
2260,proverbs,"Curses, like chickens come home to roost."
2425,proverbs,Cut off one's nose to spite one's face.
23370,sentences,Cut the cord that binds the box tightly.
23184,sentences,Cut the pie into large parts.
2075,proverbs,Cut your coat according to the cloth.
2388,proverbs,"Damage suffered makes you knowing, but seldom rich."
2296,proverbs,"Deeds are fruits, words are but leaves."
2389,proverbs,Desperate diseases must have desperate remedies.
2360,proverbs,Diamonds are forever.
2194,proverbs,Different strokes for different folks.
23777,sentences,Dig deep in the earth for pirate's gold.
2231,proverbs,Diligence is the mother of good luck.
23640,sentences,Dill pickles are sour but taste fine.
23739,sentences,Dimes showered down from all sides.
23800,sentences,Dip the pail once and let it settle.
2076,proverbs,Discretion is the better part of valour.
23559,sentences,Dispense with a vest on a day like this.
2297,proverbs,Distance lends enhancement to the view.
1999,proverbs,Distance makes the heart grow fonder.
2390,proverbs,Divide and conquer.
2160,proverbs,Do as I say not as I do.
2035,proverbs,Do as you would be done by.
2195,proverbs,Do not in an instant what an age cannot recompense.
2077,proverbs,Do right and fear no man.
23311,sentences,Do that with a wooden stick.
2036,proverbs,Do unto others as you would have them do to you.
2161,proverbs,Don't advertise: Tell it to a gossip.
2124,proverbs,Don't bite the hand that feeds you.
2034,proverbs,Don't blow your own trumpet.
2298,proverbs,Don't count your chickens before they are hatched.
2261,proverbs,Don't count your chickens before they hatch.
2299,proverbs,Don't cross your bridges until you come to them.
2162,proverbs,Don't go off half-cocked.
2196,proverbs,"Don't knock on death's door, ring the doorbell and run."
2393,proverbs,Don't put all your eggs in one basket.
2391,proverbs,Don't rely on the label on the bag.
2392,proverbs,Don't throw the baby out with the bath-water.
2232,proverbs,Don't try kicking against the wind.
2197,proverbs,Don't try to teach your grand-mother to suck eggs.
23768,sentences,Dots of light betrayed the black cat.
23641,sentences,Down that road is the way to the grain farmer.
23519,sentences,Draw the chart with heavy black lines.
2125,proverbs,"Drink like a fish, water only."
23681,sentences,Drive the screw straight into the wood.
23545,sentences,Drop the ashes on the worn old rug.
23260,sentences,Drop the two when you add the figures.
23354,sentences,Ducks fly north but lack a compass.
23694,sentences,Dull stories make her laugh.
23757,sentences,Dunk the stale biscuits into strong drink.
23449,sentences,Each penny shone like new.
2126,proverbs,"Early to bed, early to rise, makes you healthy, wealthy & wise."
987,nouns,Easter
2078,proverbs,"Easy come, easy go."
8758,pairs,Eden | Sweden
23280,sentences,Eight miles of woodland burned to waste.
23642,sentences,Either mud or dust are found at all times.
2300,proverbs,Empty bags cannot stand upright.
2199,proverbs,Empty barrels make the most noise.
2426,proverbs,Empty vessels make the most noise.
2198,proverbs,Empty vessels make the most sound.
23630,sentences,Even a just cause needs power to win.
23307,sentences,Even the worst will beat his low score.
8853,pairs,Everest | cleverest
2301,proverbs,Every cloud has a silver lining.
2262,proverbs,Every dog has its day.
2361,proverbs,Every man has his price.
2362,proverbs,Every man is the architect of his destiny.
2302,proverbs,Every path has its puddle.
23678,sentences,Every word and phrase he speaks is true.
2233,proverbs,Everybody must row with the oars he has.
2329,proverbs,Everything has an end.
2394,proverbs,Experience is the best teacher.
2363,proverbs,Experience is the father of wisdom.
2079,proverbs,Experience is the hardest teacher. She gives the test first and the lesson afterwards.
2427,proverbs,Facts do not cease to exist because they are ignored.
2000,proverbs,Faint heart never won fair lady.
2364,proverbs,Fair exchange is no robbery.
2127,proverbs,Fair words butter no cabbage.
23279,sentences,Fairy tales should be fun to write.
23482,sentences,Fake &ones shine but cost little.
2330,proverbs,Fall seven times. Stand up eight.
1980,proverbs,False friends are worse than open enemies.
2080,proverbs,Familiarity breeds contempt.
23297,sentences,Farmers came in to thresh the oat crop.
23512,sentences,Fasten two pins on each side.
23458,sentences,Feed the white mouse some flower seeds.
23226,sentences,Feel the heat of the weak dying flame.
2163,proverbs,Few words and many deeds.
23418,sentences,Fill the ink jar with sticky glue.
23647,sentences,Fill your pack with bright trinkets for the poor.
23369,sentences,Find the twin who stole the pearl necklace.
23735,sentences,Fine soap saves tender skin.
8769,pairs,Finland | inland
2395,proverbs,"First come, first served."
2001,proverbs,First impressions are the most lasting.
2331,proverbs,First in best dressed.
23799,sentences,"Fish evade the net, and swim off."
23576,sentences,Five years he lived with a shaggy dog.
1981,proverbs,Flattery is all right so long as you don't inhale.
23627,sentences,Flax makes a fine brand of paper.
23300,sentences,Float the soap on top of the bath water.
23635,sentences,Flood the mails with requests for this book.
23564,sentences,"Fly by night, and you waste little time."
2428,proverbs,Fools rush in where angels fear to tread.
23664,sentences,Footprints showed the path he took up the beach.
2164,proverbs,For donkeys' ages.
2396,proverbs,Fore-warned is fore-armed.
2081,proverbs,Fortune favours the brave.
2200,proverbs,Four eyes are better than two.
23106,sentences,Four hours of steady work faced us.
988,nouns,Frenchman
2303,proverbs,Fresh as a daisy.
2332,proverbs,"From trivial things, great contests often arise."
23355,sentences,Fruit flavors are used in fizz drinks.
23696,sentences,Get the trust fund to the bank early.
1982,proverbs,Give credit where credit is due.
2333,proverbs,Give them an inch and they'll take a mile.
23426,sentences,Glass will clink when struck by metal.
23099,sentences,Glue the sheet to the dark blue background.
23474,sentences,Go now and come here later.
2304,proverbs,Good company on the road is the shortest cut.
2128,proverbs,"Good wine ruins the purse, and bad wine ruins the stomach."
2165,proverbs,"Gossips are frogs, they drink and talk."
23507,sentences,Grace makes up for lack of beauty.
23480,sentences,Grape juice and water mix well.
23362,sentences,Gray paint stretched for miles around.
2129,proverbs,Greediness burst the bag.
23780,sentences,Green ice frosted the punch bowl.
23714,sentences,Green moss grows on the northern side.
23702,sentences,Greet the new guests and leave quickly.
1983,proverbs,Grief divided is made lighter.
2334,proverbs,"Grow angry slowly, there's plenty of time."
2037,proverbs,"Grow angry slowly; there's plenty of time."
2130,proverbs,Grumbling makes the loaf no larger.
23239,sentences,Guess the results from the first scores.
2131,proverbs,Half a loaf is better than none.
23758,sentences,Hang tinsel from both branches.
2234,proverbs,Hard work never did anyone any harm.
2397,proverbs,Hasty climbers have sudden falls.
2398,proverbs,Hasty judgements are generally faulty.
2002,proverbs,Hatred is as blind as love.
23522,sentences,Hats are worn to tea and not to dinner.
23473,sentences,He asks no person to vouch for him.
2038,proverbs,He bears misery best that hides it most.
23250,sentences,He broke a new shoelace that day.
23330,sentences,He broke his ties with groups of former friends.
23286,sentences,He carved a head from the round block of marble.
23466,sentences,He crawled with care along the ledge.
2365,proverbs,He has enough who is content.
2367,proverbs,He is rich that is satisfied.
23265,sentences,He knew the skill of the great young actress.
23187,sentences,He lay prone and hardly moved a limb.
23699,sentences,He lent his coat to the tall gaunt stranger.
23582,sentences,He offered proof in the form of a large chart.
23213,sentences,He ordered peach pie with ice cream.
23530,sentences,He picked up the dice for a second roll.
23679,sentences,He put his last cartridge into the gun and fired.
23160,sentences,He ran half way to the hardware store.
23229,sentences,He said the same phrase thirty times.
23805,sentences,He sent the boy on a short errand.
23561,sentences,"He sent the figs, but kept the ripe cherries."
23419,sentences,He smoke a big pipe with strong contents.
23514,sentences,He takes the oath of office each March.
2039,proverbs,"He that hurts another, hurts himself."
2366,proverbs,He that pays last never pays twice.
23460,sentences,He took the lead and kept it the whole distance.
23439,sentences,He used the lathe to make brass objects.
23544,sentences,He wheeled the bike past the winding road.
2132,proverbs,He who drinks a little too much drinks much too much.
2201,proverbs,"He who fights and runs away, lives to fight another day."
2335,proverbs,He who hesitates is lost.
2082,proverbs,"He who laughs last, laughs longest."
2133,proverbs,He who rises late must trot all day.
2166,proverbs,He who sings drives away sorrow.
2429,proverbs,"He who won't be advised, can't be helped."
2040,proverbs,He who wronged you will hate you.
23478,sentences,He wrote down a long list of items.
23306,sentences,He wrote his last novel there at the inn.
23639,sentences,He wrote his name boldly at the top of tile sheet.
23488,sentences,Heave the line over the port side.
2041,proverbs,Heavy givers are light complainers.
23385,sentences,Hedge apples may stain your hands green.
23686,sentences,Help the weak to preserve their strength.
23112,sentences,Help the woman get back to her feet.
23215,sentences,Hemp is a weed found in parts of the tropics.
8783,pairs,Hendon | tendon
23124,sentences,Her purse was full of useless trash.
23364,sentences,High seats are best for football fans.
2263,proverbs,His bark is louder than his bite.
2134,proverbs,His eyes are bigger than his belly.
23491,sentences,His hip struck the knee of the next player.
23395,sentences,His shirt was clean but one button was gone.
23626,sentences,His wide grin earned many friends.
23128,sentences,Hoist the load to your left shoulder.
23676,sentences,Hold the hammer near the end to drive the nail.
2083,proverbs,Home is where the heart is.
2399,proverbs,Honesty is the best policy.
23145,sentences,Hop over the fence and plunge in.
2084,proverbs,Hope for the best and prepare for the worst.
2135,proverbs,Hunger is the best sauce.
23628,sentences,Hurdle the pit with the aid of a long pole.
2042,proverbs,I am rubber and you are glue. Your words bounce off me and stick to you.
27848,interjections,I say
23818,personal_pronouns,I | f |  | s
2235,proverbs,If a job is worth doing it is worth doing well.
2400,proverbs,"If anything can go wrong, it will."
2236,proverbs,"If at first you don't succeed, try, try again."
2430,proverbs,"If the cap fits, wear it."
2085,proverbs,"If wishes were horses, beggars would ride."
2237,proverbs,"If you can't help, don't hinder."
2401,proverbs,"If you don't know where you're going, then the journey is never ending."
2167,proverbs,If you don't say it you will not have to unsay it.
2264,proverbs,"If you lie down with dogs, you'll get up with fleas."
2043,proverbs,"If you lose your temper, don't look for it."
23644,sentences,If you mumble your speech will be lost.
2238,proverbs,"If you see something you like, take it and make it better."
2368,proverbs,"In for a penny, in for a pound."
2431,proverbs,In one ear and out the other.
23351,sentences,In some form or other we need fun.
2086,proverbs,"In the country of the blind, the one-eyed man is king."
23587,sentences,In the rear of the ground floor was a large passage.
2202,proverbs,Innocent as a new born babe.
2432,proverbs,It can't happen here is number one on the list of famous last words.
23224,sentences,It caught its hind paw in a rusty trap.
23668,sentences,It is a band of steel three inches wide.
2369,proverbs,It is better to be born lucky than rich.
2305,proverbs,It is better to be green and growing than ripe and rotten.
2204,proverbs,"It is better to stay silent and be thought a fool, than to open one's mouth and remove all doubt."
2433,proverbs,"It is better to stay silent and be thought a fool, than to open one's mouth and remove all doubt."
2337,proverbs,It is easier to destroy than to build.
23314,sentences,It is hard to erase blue or red ink.
23404,sentences,It is late morning on the old wall clock.
2136,proverbs,It is no use crying over spilt milk.
2338,proverbs,It is the first step that is difficult.
23653,sentences,It matters not if he reads these words or those.
2087,proverbs,It never rains but it pours.
23126,sentences,"It snowed, rained, and hailed the same morning."
23457,sentences,It takes a good trap to capture a bear.
23468,sentences,It takes a lot of help to finish these.
23494,sentences,It takes heat to bring out the odor.
2168,proverbs,It takes two to have an argument.
23789,sentences,It was a bad error on the part of the new judge.
23731,sentences,It was done before the boy could see it.
23670,sentences,It was hidden from sight by a mass of leaves and shrubs.
23490,sentences,It's a dense crowd in two distinct ways.
2402,proverbs,It's a poor job that can't carry one boss.
2239,proverbs,It's all in a days work.
2265,proverbs,It's an ill bird that fouls its own nest.
2203,proverbs,It's an ill wind that blows no-one some good.
2266,proverbs,It's an old dog for a hard road.
23100,sentences,It's easy to tell the depth of a well.
2336,proverbs,It's either all or nothing.
2267,proverbs,"It's no use closing the stable door, after the horse has bolted."
2044,proverbs,It's not over till it's over.
23325,sentences,Jazz and swing fans like fast music.
23689,sentences,"Jerk the cord, and out tumbles the gold."
23499,sentences,Jerk the dart from the cork target.
23335,sentences,Jerk the rope and the bell rings weakly.
2045,proverbs,"Joy shared is double joy; grief shared is (only) half grief."
23347,sentences,Jump the fence and hurry up the bank.
23453,sentences,"Just hoist it up and take it away,"
318,strong_words,Kardashian
2403,proverbs,Keep It Simple (The KISS principal).
23682,sentences,Keep the hatch tight and the watch constant.
2169,proverbs,Keep your mouth shut and your eyes open.
23111,sentences,Kick the ball straight and follow through.
2268,proverbs,Kill two birds with the one stone.
8845,pairs,Koran | Oran
23107,sentences,Large size in stockings is hard to sell.
2046,proverbs,Laugh and the world laughs with you. Cry and you cry alone.
2240,proverbs,Laziness travels so slowly that poverty soon overtakes it.
2241,proverbs,Least talk most work.
2306,proverbs,Leave no stone unturned.
23806,sentences,Leave now and you will arrive on time.
2088,proverbs,Leave tomorrow till tomorrow.
23209,sentences,Leaves turn brown and yellow in the fall.
23443,sentences,"Let it burn, it gives us warmth and comfort."
2269,proverbs,Let sleeping dogs lie.
2404,proverbs,Let the buyer beware.
23405,sentences,Let's all join as we sing the last chorus.
2089,proverbs,Life begins at forty.
2090,proverbs,"Lifes trials may be hard to bear, but patience can outlive them."
23143,sentences,Lift the square stone over the fence.
23692,sentences,Light maple makes for a swell room.
2270,proverbs,Like a fish out of water.
2307,proverbs,Like looking for a needle in a haystack.
23312,sentences,Lire wires should be kept covered.
2170,proverbs,Listen to the pot calling the kettle black.
2370,proverbs,Little and often fill the purse.
2339,proverbs,Little strokes fell great oaks.
2371,proverbs,"Little thieves are hanged, but great ones escape."
2091,proverbs,Live and learn.
2405,proverbs,Look before you leap.
23372,sentences,Look in the corner to find the tan shirt.
23724,sentences,Loop the braid to the left and then over.
2340,proverbs,Lost time is never found again.
2003,proverbs,Love and a cough cannot be hid.
2004,proverbs,Love does much but money does all.
2005,proverbs,Love levels all inequalities.
2006,proverbs,Love makes a good eye squint.
2007,proverbs,Love sees no faults.
2008,proverbs,"Love sought is good, but given unsought is better."
2009,proverbs,Love to live and live to love.
2010,proverbs,"Love with life is heaven; and life unloving, hell."
989,nouns,Lowry
23707,sentences,Lush fern grow on the lofty rocks.
23337,sentences,"Madam, this is the best brand of corn."
2308,proverbs,Make hay while the sun shines.
2011,proverbs,Man is the head but woman turns it.
2092,proverbs,Manners maketh the man.
2171,proverbs,Many a true word spoken in jest.
2341,proverbs,Many drops make a shower.
23774,sentences,Many hands help get the job done.
2242,proverbs,Many hands make light work.
23154,sentences,March the soldiers past the next hill.
23469,sentences,Mark the spot with a sign painted red.
2012,proverbs,"Marry in haste, repent at leisure."
990,nouns,Mayer
1984,proverbs,Memory is the treasure of the mind.
23185,sentences,Men strive but seldom get rich.
23417,sentences,Men think and plan and sometimes act.
23132,sentences,Mend the coat before you go out.
23147,sentences,Mesh mire keeps chicks inside.
2342,proverbs,Mighty oaks from tiny acorns grow.
2309,proverbs,Milk the cow but don't pull off the udder.
23441,sentences,Mince pie is a dish served to children.
2372,proverbs,Money burns a hole in your pocket.
2243,proverbs,More haste less speed.
23834,adjs,Mosaic
23438,sentences,Most of the new is easy for us to hear.
23207,sentences,Move the vat over the hot fire.
23486,sentences,Much of the story makes good sense.
23246,sentences,Mud was spattered on the front of his white shirt.
23619,sentences,Neat plans fail without luck.
2343,proverbs,"Necessity is a hard nurse, but she raises strong children."
2205,proverbs,Necessity is the mother of invention.
2244,proverbs,Needs must when the devil drives.
2310,proverbs,Never cackle unless you lay.
2048,proverbs,Never let the sun go down on your anger.
2047,proverbs,Never let the sun set on angry heart.
2049,proverbs,Never let the sun set on thy wrath.
2271,proverbs,Never look a gift horse in the mouth.
2245,proverbs,Never put off 'til tomorrow what you can do today.
2050,proverbs,Never quarrel with one's bread and butter.
2373,proverbs,Never spend your money before you have it.
23536,sentences,New pants lack cuffs and pockets.
23677,sentences,Next Sunday is the twelfth of the month.
23447,sentences,Next Tuesday we must vote.
23374,sentences,Nine men were hired to dig the ruins.
23428,sentences,Nine rows of soldiers stood in line.
23500,sentences,No cement will hold hard wood.
23776,sentences,No doubt about the way the wind blows.
23506,sentences,No hardship seemed to keep him sad.
2246,proverbs,No life can be dreary when work is a delight.
2093,proverbs,No man is worse for knowing the worst of himself.
2051,proverbs,"No man or woman is worth your tears, and the one who is, won't make you cry."
2172,proverbs,No news is good news.
2206,proverbs,No one can be caught in places he does not visit.
2272,proverbs,No sense closing the barn door after the horse has bolted.
2207,proverbs,No wise man ever wishes to be younger.
2406,proverbs,Nobody can serve two masters.
23472,sentences,North winds bring colds and fevers.
2208,proverbs,Not in a month of Sundays.
2247,proverbs,Not to break is better than to mend.
23130,sentences,Note closely the size of the gas tank.
1985,proverbs,Nothing dries sooner than a tear.
2273,proverbs,Nothing falls into the mouth of a sleeping fox.
2173,proverbs,Nothing is ill said if it is not ill taken.
23508,sentences,Nudge gently but wake her now.
23198,sentences,Oak is strong and also gives shade.
2311,proverbs,Oaks may fall when reeds take the storm.
23589,sentences,Oats are a food eaten by horse and man.
23835,adjs,Oceanic
1986,proverbs,Old friends and old wine are best.
2137,proverbs,Old friends and old wine are best.
23338,sentences,On the islands the sea breeze is soft and mild.
23510,sentences,Once we stood beside the shore.
2407,proverbs,One false move may lose the game.
2408,proverbs,"One man's loss, is another man's gain."
2138,proverbs,One man's meat is another man's poison.
2209,proverbs,One mans junk is another man's treasure.
2434,proverbs,One of these days is none of these days.
2174,proverbs,One picture is worth a thousand words.
23790,sentences,One step more and the board will collapse.
2374,proverbs,One today is worth two tomorrows.
2094,proverbs,Only the good die young.
